propertyCode,precio_anunciado,barrio_code,distrito_code,barrio_rescatado,sin_barrio,planta_imputada,ascensor_desde_descripcion,sin_descripcion,fuera_de_rango,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,precio_estimado_2018,indice_venta,precio_estimado,factor_renta_mensual,renta_mensual_estimada,tipologia_casa,superficie_fuera_de_dominio,a_reformar,ocupada,fuera_de_dominio,distrito,alquiler_distrito_eur_m2_2026,anunciado / estimado
111844368,1390000.0,034,03,False,False,False,False,False,False,126.0,2,3,748154.3,1.7929648066474984,1341414.3522540545,0.0021651669060346315,2904.3859627803604,False,False,False,False,False,Retiro,17.253540940727106,1.0362197166478087
111506303,2600000.0,042,04,False,False,False,False,False,False,200.0,5,4,1.0862692e+06,1.8766123722225168,2038506.314114874,0.0019512838033895418,3977.7043538396674,False,False,False,False,False,Salamanca,19.77461679945292,1.2754436824636122
108785056,1749000.0,071,07,False,False,False,False,False,False,300.0,6,3,1.277381e+06,1.6853880807988142,2152882.71203887,0.002278740199336892,4905.8603803804035,False,False,False,False,False,Chamberí,19.980022301161203,0.8123991103740268
112054989,1980000.0,042,04,False,False,False,False,False,False,220.0,2,2,896423.06,1.8766123722225168,1682238.6098330985,0.0019512838033895418,3282.524952803864,False,False,False,False,False,Salamanca,19.77461679945292,1.1770030650981453
109993909,2500000.0,046,04,False,False,False,False,False,True,189.0,4,3,1.313237e+06,1.8766123722225168,2464436.8018603814,0.0019512838033895418,4808.815615947284,False,False,False,False,False,Salamanca,19.77461679945292,1.0144305579728286
110479839,2750000.0,051,05,False,False,False,False,False,False,160.0,4,3,929424.25,1.6700715368729793,1552204.985604516,0.0023384882833218804,3629.8131721499685,False,False,False,False,False,Chamartín,18.388855162033455,1.771673216813561
112528832,1600000.0,046,04,False,False,False,False,False,True,146.0,3,3,,1.8766123722225168,,0.0019512838033895418,,False,False,False,True,True,Salamanca,19.77461679945292,
111524742,5500000.0,162,16,False,False,True,True,False,False,900.0,6,6,,1.6317102565250337,,0.0027028857740617703,,True,True,False,False,True,Hortaleza,14.589315759435864,
110744642,395000.0,015,01,False,False,False,False,False,False,38.0,0,1,239411.97,1.558745921449614,373182.42983528494,0.0025264030793100585,942.8092398802737,False,False,False,False,False,Centro,18.93916135071505,1.058463551390522
111925550,1650000.0,046,04,False,False,False,False,False,True,130.0,2,3,798336.06,1.8766123722225168,1498167.3320789083,0.0019512838033895418,2923.349649852895,False,False,False,False,False,Salamanca,19.77461679945292,1.1013456005013829
110473441,2200000.0,042,04,False,False,False,False,False,False,250.0,3,2,1.1060831e+06,1.8766123722225168,2075689.2770815445,0.0019512838033895418,4050.2588672385646,False,False,False,False,False,Salamanca,19.77461679945292,1.0598888881351445
